	alpha	avg_perc_to_deadline	avg_perc_to_deadline_last_10	eps_iters	epsilon	gamma	last_10_successes	scores	scores_last_10	successes
145	0.8	0.523710380876	0.03	19.6	0.2	0.0	9.95	2188.5	223.725	96.75
146	0.8	0.511965991696	0.0214285714286	39.65	0.4	0.0	9.95	2186.925	225.25	97.05
147	0.8	0.531454075106	0.045	60.4	0.6	0.0	9.9	2190.85	220.625	96.25
148	0.8	0.529169615067	0.0214285714286	80.4	0.8	0.0	9.95	2183.075	224.35	96.5
149	0.8	0.517549150152	0.015	99.8	1.0	0.0	9.95	2184.7	223.45	97.15
150	0.8	0.572138860831	0.0	3.5	0.0	0.2	10.0	2172.675	229.575	94.75
151	0.8	0.565397413315	0.0691666666667	21.0	0.2	0.2	9.85	2184.45	223.175	95.15
152	0.8	0.591532426626	0.116666666667	41.6	0.4	0.2	9.85	2187.25	224.125	94.3
153	0.8	0.588607639891	0.0	62.45	0.6	0.2	10.0	2152.6	218.15	94.25
154	0.8	0.594272174272	0.075	82.3	0.8	0.2	9.85	2187.75	224.575	94.4
155	0.8	0.597822446689	0.0166666666667	100.9	1.0	0.2	9.95	2165.425	221.25	94.2
156	0.8	0.727024198333	0.0	3.7	0.0	0.4	10.0	2295.925	231.0	90.05
157	0.8	0.761158739488	0.19875	24.75	0.2	0.4	9.85	2328.825	231.175	88.8
158	0.8	0.712790993917	0.0364285714286	44.7	0.4	0.4	9.9	2310.65	235.45	91.1
159	0.8	0.752628588707	0.190833333333	66.75	0.6	0.4	9.65	2357.225	224.525	89.4
160	0.8	0.769352518549	0.161761904762	87.4	0.8	0.4	9.6	2464.2	247.95	89.15
161	0.8	0.774708790979	0.146428571429	101.0	1.0	0.4	9.75	2446.3	241.7	88.6
162	0.8	0.979243677085	0.661761904762	4.75	0.0	0.6	8.9	2612.075	302.3	82.05
163	0.8	0.95968335031	1.19041666667	27.8	0.2	0.6	8.75	2531.175	287.925	82.7
164	0.8	1.0017335661	0.612178571429	51.0	0.4	0.6	9.2	2589.225	288.325	81.4
165	0.8	0.997838523209	0.756964285714	73.85	0.6	0.6	9.0	2541.875	274.625	80.85
166	0.8	0.968181438074	0.649761904762	93.95	0.8	0.6	9.1	2580.775	277.35	82.75
167	0.8	0.951258660754	0.439345238095	101.0	1.0	0.6	9.25	2517.5	280.275	82.8
168	0.8	1.30095723496	0.75875	4.1	0.0	0.8	8.8	2333.725	267.75	70.95
169	0.8	1.2612406185	0.876342592593	36.5	0.2	0.8	8.55	2339.825	268.975	71.85
170	0.8	1.33168820648	0.553392857143	63.35	0.4	0.8	9.25	2280.9	279.325	69.65
171	0.8	1.27492460201	0.531984126984	83.6	0.6	0.8	9.25	2319.1	283.05	72.0
172	0.8	1.25140410532	0.929791666667	99.7	0.8	0.8	8.6	2386.15	284.7	72.6
173	0.8	1.35593316666	1.12452380952	101.0	1.0	0.8	8.4	2345.975	290.3	68.65
174	0.8	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
175	0.8	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
176	0.8	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
177	0.8	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
178	0.8	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
179	0.8	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
180	1.0	0.462844825236	0.0	1.45	0.0	0.0	10.0	2221.0	224.85	98.8
181	1.0	0.467667557384	0.166666666667	17.75	0.2	0.0	9.9	2212.125	224.375	98.6
182	1.0	0.459748652674	0.208928571429	37.9	0.4	0.0	9.85	2233.925	225.75	98.45
183	1.0	0.45515398233	0.0388888888889	58.1	0.6	0.0	9.9	2197.625	221.825	98.55
184	1.0	0.462152053763	0.1875	78.35	0.8	0.0	9.9	2228.725	224.275	98.5
185	1.0	0.470307530129	0.1875	98.45	1.0	0.0	9.85	2231.775	227.7	98.5
186	1.0	0.540480207863	0.0364285714286	3.1	0.0	0.2	9.9	2201.1	220.5	96.45
